,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,119,人 9.11,1960,2690,7503,"0,003877%",4,6,12,傲,ào,ao,fourth,"proud, haughty, overbearing",,使
,120,人 9.11,1989,2960,7167,"0,003704%",5,5,13,傻,shǎ,sha,third,"foolish, silly, stupid; an imbecile",,情
,121,人 9.11,2064,2959,6538,"0,003379%",5,7–9,13,催,cuī,cui,first,"press, urge",,明
,122,人 9.11,6311,7547,39,"0,000020%",,,13,傺,chì,chi,fourth,to hinder; to detain,,性
,123,人 9.11,0,7549,,"0,000000%",,,13,僇,lù,lu,fourth,humiliate; treat with contempt,,知
,124,人 9.12,294,2961,145291,"0,075084%",3,2,13,像,xiàng,xiang,fourth,"a picture, image, figure; to resemble",,全
,125,人 9.12,2013,3127,6920,"0,003576%",,7–9,14,僧,sēng,seng,first,"Buddhist priest, monk; san of Sanskrit sangha",,三
,126,人 9.12,2234,3126,5278,"0,002728%",,7–9,14,僚,liáo,liao,second,"companion, colleague; officials; bureaucracy; a pretty face",,又
,127,人 9.12,3820,5758,688,"0,000356%",,,14,僭,jiàn,jian,fourth,"assume, usurp",,关
,128,人 9.12,4523,5760,314,"0,000162%",,,14,僮,tóng,tong,second,"page, boy servant",,点
,129,人 9.12,4739,5755,241,"0,000125%",,,14,僖,xī,xi,first,"joy, gladness, delight; surname",,正
,130,人 9.12,5386,5757,127,"0,000066%",,,14,僳,sù,su,fourth,minority name,,业
,131,人 9.12,5438,7694,121,"0,000063%",,,14,僦,jiù,jiu,fourth,to heir; to rent,,外
,132,人 9.12,6121,7693,53,"0,000027%",,,14,僬,jiāo,jiao,first,clever; alert in mind pigmies,,将
,133,人 9.12,0,5671,,"0,000000%",,,14,僰,bó,bo,second,ancient aboriginal tribe,,两
,134,人 9.12,0,7695,,"0,000000%",,,14,僔,zǔn,zun,third,"to congregate, to crowd",,高
,135,人 9.12,0,7696,,"0,000000%",,,14,僎,zhuàn,zhuan,fourth,collect,,间
,136,人 9.13,2333,3269,4668,"0,002412%",6,7–9,15,僵,jiāng,jiang,first,"stiff and motionless, stock still",,由
,137,人 9.13,2827,3271,2391,"0,001236%",6,7–9,15,僻,pì,pi,fourth,"out-of-the-way, remote; unorthodox",,问
,138,人 9.13,4519,5756,316,"0,000163%",,,14,儆,jǐng,jing,third,warn; warning,,很
,139,人 9.13,5810,5961,79,"0,000041%",,,15,儋,dān,dan,first,a small jar; to bear a burden; a load of two,,最
,140,人 9.13,6574,7792,25,"0,000013%",,,15,儇,xuān,xuan,first,"clever, nimble",,重
,141,人 9.14,2006,3361,7004,"0,003620%",6,7–9,16,儒,rú,ru,second,Confucian scholar,,并
,142,人 9.15,3992,6262,581,"0,000300%",,,17,儡,lěi,lei,third,"puppet, dummy",,物
,143,人 9.15,0,7954,,"0,000000%",,,17,儦,biāo,biao,first,milling,,手
,144,人 9.17,0,8039,,"0,000000%",,,19,儳,chán,chan,second,obstinate; stupid; uneven; mix,,应
,145,人 9.17,0,8040,,"0,000000%",,,19,儴,ráng,rang,second,,,战
,146,人 9.2,98,0142,369958,"0,191189%",2,1,4,从,cóng,cong,second,"from, by, since, whence, through",,向
,147,人 9.2,156,0129,267869,"0,138431%",1,1,4,什,shén,shen,second,"file of ten soldiers; mixed, miscellaneous",,头
,148,人 9.2,336,0144,126624,"0,065437%",1,1,4,今,jīn,jin,first,"now, today, modern era",,文
,149,人 9.2,494,0136,82729,"0,042753%",4,3,4,仅,jǐn,jin,third,"only, merely, solely, just",,体
