,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,4976,示 113.8,2196,2793,5540,"0,002863%",,7–9,12,禅,chán,chan,second,dhyana (Sanskrit); Zen; meditation (Buddhism),,
,4977,示 113.8,2945,2987,2048,"0,001058%",,,13,禀,bǐng,bing,third,"report to, petition",,
,4978,示 113.8,3499,5309,1034,"0,000534%",,,12,祺,qí,qi,second,"good luck, good fortune",,
,4979,示 113.8,6771,,18,"0,000009%",,,12,禆,bēi,bei,first,,,
,4980,示 113.8,7219,7446,9,"0,000005%",,,12,祼,guàn,guan,fourth,libation,,
,4981,示 113.8,8028,,3,"0,000002%",,,12,禃,zhí,zhi,second,,,
,4982,示 113.8,8321,,2,"0,000001%",,,12,祻,gù,gu,fourth,disaster,,
,4983,示 113.8,8587,,2,"0,000001%",,,12,祿,lù,lu,fourth,"blessing, happiness, prosperity",,
,4984,示 113.8,8954,5308,1,"0,000001%",,,12,祾,líng,ling,second,,,
,4985,示 113.8,9413,,1,"0,000001%",,,12,祹,táo,tao,second,,,
,4986,示 113.9,683,3033,55871,"0,028873%",4,3,13,福,fú,fu,second,"happiness, good fortune, blessing",,
,4987,示 113.9,5950,,68,"0,000035%",,,12,禇,zhě,zhe,third,erroneous form of 褚,,
,4988,示 113.9,6727,5601,19,"0,000010%",,,13,禊,xì,xi,fourth,semi-annual ceremony of purification,,
,4989,示 113.9,7050,,11,"0,000006%",,,12,禍,huò,huo,fourth,"misfortune, calamity, disaster",,
,4990,示 113.9,7245,7604,8,"0,000004%",,,13,禋,yīn,yin,first,offer sacrifice; sacrifice,,
,4991,示 113.9,7366,7606,7,"0,000004%",,,13,禘,dì,di,fourth,imperial ancestor worship,,
,4992,示 113.9,7494,,6,"0,000003%",,,13,禎,zhēn,zhen,first,"lucky, auspicious, good omen",,
,4993,示 113.9,7559,,5,"0,000003%",,,13,禑,wú,wu,second,happy; used in historical names,,
,4994,示 113.9,8955,,1,"0,000001%",,,13,禌,zī,zi,first,,,
,4995,示 113.9,9028,7605,1,"0,000001%",,,13,禔,zhī,zhi,first,happiness; peace; good fortune,,
,4996,示 113.9,9414,,1,"0,000001%",,,13,禐,yuàn,yuan,fourth,,,
,4997,示 113.9,9714,,1,"0,000001%",,,13,禖,méi,mei,second,sacrifice,,
,4998,示 113.9,9830,,1,"0,000001%",,,13,禗,sī,si,first,,,
,4999,示 113.9,0,7607,,"0,000000%",,,13,禒,xiǎn,xian,third,,,
,5000,禸 114.4,2889,1575,2199,"0,001136%",,,9,禹,yǔ,yu,third,legendary hsia dynasty founder,,
,5001,禸 114.4,3056,4195,1757,"0,000908%",,,9,禺,yú,yu,second,district; mountain in Zhejiang,,
,5002,禸 114.6,418,2035,100744,"0,052063%",2,2,10,离,lí,li,second,rare beast; strange; elegant,,
,5003,禸 114.8,2562,2711,3408,"0,001761%",6,7–9,12,禽,qín,qin,second,"birds, fowl; surname;; capture",,
,5004,禾 115.0,3587,0267,936,"0,000484%",,7–9,5,禾,hé,he,second,grain still on stalk; rice plant,,
,5005,禾 115.10,1587,3263,12012,"0,006208%",6,6,15,稿,gǎo,gao,third,"draft, manuscript, rough copy",,
,5006,禾 115.10,2427,3260,4085,"0,002111%",,7–9,15,稽,jī,ji,first,"examine, investigate; delay",,
,5007,禾 115.10,2529,3261,3607,"0,001864%",6,7–9,15,稻,dào,dao,fourth,"rice growing in field, rice plant",,
,5008,禾 115.10,2800,3264,2500,"0,001292%",6,7–9,15,稼,jià,jia,fourth,sow grain; sheaves of grain,,
,5009,禾 115.10,3887,5954,638,"0,000330%",,,15,稷,jì,ji,fourth,god of cereals; minister of agriculture,,
,5010,禾 115.10,4947,7791,192,"0,000099%",,,15,稹,zhěn,zhen,third,to accumulate,,
,5011,禾 115.10,6193,,47,"0,000024%",,,15,穀,gǔ,gu,third,"corn, grain, cereal; lucky",,
,5012,禾 115.10,8527,,2,"0,000001%",,,15,穃,rong,rong,neutral,,,
,5013,禾 115.10,8854,,1,"0,000001%",,,15,稸,xù,xu,fourth,,,
,5014,禾 115.10,9748,,1,"0,000001%",,,15,稴,xián,xian,second,,,
,5015,禾 115.11,1683,3356,10592,"0,005474%",,7–9,16,穆,mù,mu,fourth,"majestic, solemn, reverent; calm",,
,5016,禾 115.11,4068,6123,543,"0,000281%",,,16,穑,sè,se,fourth,"farm, harvest grain; stingy",,
,5017,禾 115.11,6032,,61,"0,000032%",,,16,積,jī,ji,first,"accumulate, store up, amass",,
,5018,禾 115.11,7267,,8,"0,000004%",,,16,穈,méi,mei,second,millet,,
,5019,禾 115.11,7407,,6,"0,000003%",,,14,穊,jì,ji,fourth,plough deep; sown slowly,,
,5020,禾 115.11,9039,7876,1,"0,000001%",,,16,穄,jì,ji,fourth,panicled millet,,
,5021,禾 115.11,9225,,1,"0,000001%",,,16,穐,qiū,qiu,first,"fall, autumn",,
,5022,禾 115.12,3378,3415,1178,"0,000609%",,,17,穗,suì,sui,fourth,ear of grain; tassel; Guangzhou,,
,5023,禾 115.12,7299,,7,"0,000004%",,,17,穉,zhì,zhi,fourth,"young grain; young, tender",,
,5024,禾 115.12,8855,7949,1,"0,000001%",,,17,穜,zhǒng,zhong,third,rice,,
,5025,禾 115.12,9075,7948,1,"0,000001%",,,17,穙,pú,pu,second,,,
,5026,禾 115.12,9226,,1,"0,000001%",,,17,穛,zhuō,zhuo,first,,,
,5027,禾 115.13,6668,4891,21,"0,000011%",,,11,秾,nóng,nong,second,"thick, lush, in clusters",,
,5028,禾 115.13,9422,,1,"0,000001%",,,18,穢,huì,hui,fourth,"dirty, unclean; immoral, obscene",,
,5029,禾 115.13,9863,7950,1,"0,000001%",,,17,穟,suì,sui,fourth,ear of grain; ripe grain,,
,5030,禾 115.14,6598,,25,"0,000013%",,,19,穩,wěn,wen,third,"stable, firm, solid, steady",,
,5031,禾 115.14,7427,,6,"0,000003%",,,19,穪,chēng,cheng,first,to praise,,
,5032,禾 115.14,8445,,2,"0,000001%",,,18,穫,huò,huo,fourth,"harvest, cut grain",,
,5033,禾 115.15,9029,,1,"0,000001%",,,20,穯,se,se,neutral,,,
,5034,禾 115.16,9710,,1,"0,000001%",,,22,龝,qiū,qiu,first,"autumn, fall; year",,
,5035,禾 115.17,5152,6474,158,"0,000082%",,,22,穰,ráng,rang,second,"stalks of grain; lush, abundant",,
,5036,禾 115.18,9076,,1,"0,000001%",,,22,穱,zhuō,zhuo,first,,,
,5037,禾 115.2,1023,0766,29700,"0,015349%",5,5,7,私,sī,si,first,"private, personal; secret",,
,5038,禾 115.2,1136,0765,24620,"0,012723%",4,4,7,秀,xiù,xiu,fourth,"ear of grain; flowering, luxuriant; refined, elegant, graceful",,
,5039,禾 115.2,2521,0764,3640,"0,001881%",6,7–9,7,秃,tū,tu,first,bald,,
,5040,禾 115.2,7121,,10,"0,000005%",,,7,禿,tū,tu,first,"bald, bare, stripped",,
,5041,禾 115.3,2809,1134,2472,"0,001277%",,7–9,8,秉,bǐng,bing,third,"grasp, hold; bundle; authority",,
,5042,禾 115.3,4132,1130,502,"0,000259%",,,8,秆,gǎn,gan,third,straw; stalk of grain,,
,5043,禾 115.3,9019,,1,"0,000001%",,,8,秊,nián,nian,second,,,
,5044,禾 115.3,9716,,1,"0,000001%",,,8,秅,chá,cha,second,,,
,5045,禾 115.4,57,1549,503344,"0,260121%",3,3,9,种,zhǒng,zhong,third,"seed; race, breed; to plant",,
,5046,禾 115.4,277,1551,155750,"0,080489%",4,2,9,科,kē,ke,first,"section, department, science",,
,5047,禾 115.4,1151,1550,24030,"0,012418%",3,2,9,秋,qiū,qiu,first,"autumn, fall; year",,
,5048,禾 115.4,2028,1547,6829,"0,003529%",4,5,9,秒,miǎo,miao,third,beard of grain or corn; a second,,
,5049,禾 115.4,6313,4251,39,"0,000020%",,,9,秕,bǐ,bi,third,"empty grain or rice husk, chaff",,
,5050,禾 115.4,8029,,3,"0,000002%",,,9,秔,jīng,jing,first,non-glutinous rice,,
,5051,禾 115.5,449,1948,93638,"0,048391%",5,2,10,称,chēng,cheng,first,"call; name, brand; address; say",,
,5052,禾 115.5,728,1945,50720,"0,026211%",4,3,10,积,jī,ji,first,"accumulate, store up, amass",,
,5053,禾 115.5,896,1949,37560,"0,019410%",5,4,10,秘,mì,mi,fourth,"secret, mysterious, abstruse",,
,5054,禾 115.5,1394,1772,16088,"0,008314%",,7–9,10,秦,qín,qin,second,surname; Qin dynasty (221-207 BC),,
,5055,禾 115.5,1397,1944,16052,"0,008295%",1,2,10,租,zū,zu,first,"rent, lease; rental; tax",,
,5056,禾 115.5,1749,1947,9713,"0,005020%",5,7–9,10,秩,zhì,zhi,fourth,order; orderly; salary; decade,,
,5057,禾 115.5,3522,1946,1003,"0,000518%",,7–9,10,秧,yāng,yang,first,"rice seedlings, young rice plants",,
,5058,禾 115.5,3737,1943,765,"0,000395%",6,7–9,10,秤,chèng,cheng,fourth,"balance, scale, steelyard",,
,5059,禾 115.5,4903,4553,202,"0,000104%",,,10,秣,mò,mo,fourth,"fodder, horse feed; feed horse",,
,5060,禾 115.5,5884,4554,72,"0,000037%",,,10,秫,shú,shu,second,glutinous variety of millet,,
,5061,禾 115.5,6171,4252,49,"0,000025%",,,9,秭,zǐ,zi,third,"one thousand millions, sometimes used for one hundred millions",,
,5062,禾 115.5,7426,6853,6,"0,000003%",,,9,秬,jù,ju,fourth,black millet,,
,5063,禾 115.5,8849,,1,"0,000001%",,,10,秙,kù,ku,fourth,,,
,5064,禾 115.5,8850,,1,"0,000001%",,,10,秢,líng,ling,second,,,
,5065,禾 115.5,9074,,1,"0,000001%",,,10,秠,pī,pi,first,millet,,
,5066,禾 115.6,880,2316,38349,"0,019818%",5,4,11,移,yí,yi,second,"change place, shift; move about",,
,5067,禾 115.6,3096,2315,1676,"0,000866%",,7–9,11,秽,huì,hui,fourth,"dirty, unclean; immoral, obscene",,
,5068,禾 115.6,3840,2312,670,"0,000346%",,,11,秸,jiē,jie,first,"stalks of millet, corn",,
,5069,禾 115.6,7309,,7,"0,000004%",,,11,秵,yīn,yin,first,,,
,5070,禾 115.6,7751,,4,"0,000002%",,,11,秱,tóng,tong,second,,,
,5071,禾 115.6,8113,,3,"0,000002%",,,11,秲,zhì,zhi,fourth,,,
,5072,禾 115.6,8371,7189,2,"0,000001%",,,11,稆,lǚ,lü,third,wild grain,,
,5073,禾 115.6,8599,,2,"0,000001%",,,11,秶,zī,zi,first,,,
,5074,禾 115.6,8813,,2,"0,000001%",,,11,秹,rěn,ren,third,,,
,5075,禾 115.6,9415,,1,"0,000001%",,,11,秳,huó,huo,second,,,
,5076,禾 115.6,9416,,1,"0,000001%",,,11,秼,zhū,zhu,first,,,
,5077,禾 115.6,9862,,1,"0,000001%",,,11,秺,dù,du,fourth,,,
,5078,禾 115.7,314,2677,136962,"0,070780%",4,3,12,程,chéng,cheng,second,"journey, trip; schedule, agenda",,
,5079,禾 115.7,781,2679,45615,"0,023573%",5,6,12,税,shuì,shui,fourth,taxes,,
,5080,禾 115.7,1373,2676,16855,"0,008710%",4,5,12,稍,shāo,shao,first,"little, slightly; rather",,
,5081,禾 115.7,1788,2678,9234,"0,004772%",6,7–9,12,稀,xī,xi,first,"rare, unusual, scarce; sparse",,
,5082,禾 115.7,7240,5203,8,"0,000004%",,,12,稃,fū,fu,first,husk; outside shell of grain,,
,5083,禾 115.7,7466,,6,"0,000003%",,,12,稅,shuì,shui,fourth,"taxes, revenue, duty; tax",,
,5084,禾 115.7,8008,5204,3,"0,000002%",,,12,稂,láng,lang,second,grass; weeds,,
,5085,禾 115.7,8526,7386,2,"0,000001%",,,12,稌,tú,tu,second,glutinous rice,,
,5086,禾 115.7,9417,,1,"0,000001%",,,12,稄,xùn,xun,fourth,,,
,5087,禾 115.7,9418,,1,"0,000001%",,,12,稇,kǔn,kun,third,"to bind, as faggots of sheaves",,
,5088,禾 115.7,9419,,1,"0,000001%",,,12,稈,gǎn,gan,third,stalk of grain; straw,,
,5089,禾 115.8,2720,2948,2803,"0,001449%",6,7–9,13,稚,zhì,zhi,fourth,"young, immature; childhood",,
,5090,禾 115.8,3367,2949,1194,"0,000617%",6,7–9,13,稠,chóu,chou,second,"dense, crowded, packed; soupy",,
,5091,禾 115.8,4912,5498,198,"0,000102%",,,13,稗,bài,bai,fourth,"darnels, weeds, tares small",,
,5092,禾 115.8,5151,5499,158,"0,000082%",,,13,稔,rěn,ren,third,"ripe grain; harvest; to know, be familiar with",,
,5093,禾 115.8,5576,5497,105,"0,000054%",,,13,稞,kē,ke,first,grain ready for grinding; grain,,
,5094,禾 115.8,6648,,22,"0,000011%",,,13,稜,léng,leng,second,"corner, edge, angle; square block",,
,5095,禾 115.8,6777,,18,"0,000009%",,,13,稓,zuó,zuo,second,,,
,5096,禾 115.8,7496,,6,"0,000003%",,,13,稖,bàng,bang,fourth,,,
,5097,禾 115.8,7497,,6,"0,000003%",,,13,稟,bǐng,bing,third,"report to, petition",,
,5098,禾 115.8,7815,,4,"0,000002%",,,13,稛,kǔn,kun,third,bind,,
,5099,禾 115.8,9224,7538,1,"0,000001%",,,13,稑,lù,lu,fourth,rice,,
,5100,禾 115.8,9420,,1,"0,000001%",,,13,稘,jī,ji,first,"a full year, an anniversary",,
,5101,禾 115.8,9421,7539,1,"0,000001%",,,13,稙,zhī,zhi,first,grain ready for grinding,,
,5102,禾 115.8,9831,,1,"0,000001%",,,13,稡,zuì,zui,fourth,,,
,5103,禾 115.8,0,7540,,"0,000000%",,,13,䅟,cǎn,can,third,"(simplified form of 穇) varieties of millet; panicled millet, ear of grain producing no fruit, short grains",,
,5104,禾 115.9,1055,3118,28031,"0,014486%",5,4,14,稳,wěn,wen,third,"stable, firm, solid, steady",,
,5105,禾 115.9,4905,,202,"0,000104%",,,14,種,zhǒng,zhong,third,seed; race; offspring; to plant,,
,5106,禾 115.9,5579,,105,"0,000054%",,,14,稱,chēng,cheng,first,"call; name, brand; address; say",,
,5107,禾 115.9,8393,,2,"0,000001%",,,14,稭,jiē,jie,first,"stalk of grain, rice, corn, hemp",,
,5108,禾 115.9,8851,,1,"0,000001%",,,14,稧,xì,xi,fourth,,,
,5109,禾 115.9,8852,,1,"0,000001%",,,14,稬,nuò,nuo,fourth,"glutinous, sticky",,
,5110,禾 115.9,8853,,1,"0,000001%",,,14,稲,dào,dao,fourth,"rice growing in field, rice plant",,
,5111,穴 116.0,1940,0313,7772,"0,004016%",6,7–9,5,穴,xué,xue,second,"cave, den, hole; KangXi radical 116",,
,5112,穴 116.1,9040,,1,"0,000001%",,,6,穵,wā,wa,first,"deep hollow;, gouge, dig out",,
,5113,穴 116.10,5821,6009,78,"0,000040%",,,15,窳,yǔ,yu,third,"dirty, useless, weak, powerless; cracked, a flaw",,
,5114,穴 116.10,8114,,3,"0,000002%",,,15,窮,qióng,qiong,second,"poor, destitute, impoverished",,
,5115,穴 116.10,9077,,1,"0,000001%",,,15,窯,yáo,yao,second,kiln; coal mine pit,,
,5116,穴 116.11,4963,6184,188,"0,000097%",,,16,窸,xī,xi,first,"faint sound, whisper",,
,5117,穴 116.11,8260,,2,"0,000001%",,,16,窼,zhāo,zhao,first,,,
,5118,穴 116.12,3845,3383,668,"0,000345%",,7–9,16,窿,lóng,long,second,"mine shaft; cavity, hole",,
,5119,穴 116.12,8447,,2,"0,000001%",,,17,窾,kuǎn,kuan,third,hole; hallow; empty,,
,5120,穴 116.12,9227,,1,"0,000001%",,,17,竂,piáo,piao,second,,,
,5121,穴 116.13,6365,,36,"0,000019%",,,18,竅,qiào,qiao,fourth,"hole, opening, aperture",,
,5122,穴 116.13,8115,,3,"0,000002%",,,18,竄,cuàn,cuan,fourth,"run away; revise, edit; expel",,
,5123,穴 116.15,7498,,6,"0,000003%",,,20,竇,dòu,dou,fourth,"surname; hole, burrow; corrupt",,
,5124,穴 116.16,9799,,1,"0,000001%",,,21,竈,zào,zao,fourth,furnace; kitchen stove,,
,5125,穴 116.2,429,0881,98377,"0,050840%",4,4,7,究,jiū,jiu,first,"examine, investigate",,
,5126,穴 116.2,1343,0882,17672,"0,009133%",4,4,7,穷,qióng,qiong,second,"poor, destitute, impoverished",,
,5127,穴 116.3,272,1282,158539,"0,081931%",3,2,8,空,kōng,kong,first,"empty, hollow, bare, deserted",,
,5128,穴 116.3,3521,4036,1004,"0,000519%",,,8,穹,qióng,qiong,second,high and vast; elevated; arched,,
,5129,穴 116.3,5943,6727,68,"0,000035%",,,8,穸,xī,xi,first,the gloom of the grave a tomb or grave; death,,
,5130,穴 116.3,8030,,3,"0,000002%",,,8,穻,yū,yu,first,,,
,5131,穴 116.4,484,1700,84474,"0,043655%",3,3,9,突,tū,tu,first,"suddenly, abruptly, unexpectedly",,
,5132,穴 116.4,785,1701,45314,"0,023418%",2,1,9,穿,chuān,chuan,first,"penetrate, pierce, drill; wear",,
,5133,穴 116.4,2103,1702,6174,"0,003191%",6,7–9,9,窃,qiè,qie,fourth,"secretly, stealthily; steal; thief",,
,5134,穴 116.4,5718,6901,89,"0,000046%",,,9,窀,zhūn,zhun,first,to bury,,
,5135,穴 116.4,9832,,1,"0,000001%",,,9,穽,jǐng,jing,third,"hole; pitfall, trap",,
,5136,穴 116.5,2244,2104,5219,"0,002697%",5,7–9,10,窄,zhǎi,zhai,third,"narrow, tight; narrow-minded",,
,5137,穴 116.5,3020,2103,1856,"0,000959%",6,7–9,10,窍,qiào,qiao,fourth,"hole, opening, aperture",,
,5138,穴 116.5,4541,4666,310,"0,000160%",,,10,窈,yǎo,yao,third,"obscure, secluded; refined",,
,5139,穴 116.5,6065,,58,"0,000030%",,,9,窆,biǎn,bian,third,to put a coffin in a grave,,
,5140,穴 116.5,7533,,5,"0,000003%",,,10,窋,zhú,zhu,second,in a hole,,
,5141,穴 116.5,8322,7073,2,"0,000001%",,,10,窊,wā,wa,first,"pit, vault; store in pit; (Cant.)手窊, the arm",,
,5142,穴 116.5,8403,,2,"0,000001%",,,10,窌,jiào,jiao,fourth,"pit, vault; store in pit",,
,5143,穴 116.5,8446,7072,2,"0,000001%",,,10,窅,yǎo,yao,third,"far, deep; sunken eyes; sad",,
,5144,穴 116.5,8600,,2,"0,000001%",,,10,窇,báo,bao,second,,,
,5145,穴 116.5,8796,7074,2,"0,000001%",,,10,窎,diào,diao,fourth,deep; distant,,
,5146,穴 116.6,2342,2457,4611,"0,002383%",,7–9,11,窑,yáo,yao,second,kiln; coal mine pit,,
,5147,穴 116.6,3235,2456,1413,"0,000730%",,7–9,11,窒,zhì,zhi,fourth,"stop up, obstruct",,
,5148,穴 116.6,4684,4993,256,"0,000132%",,,11,窕,tiǎo,tiao,third,"slender; quiet and modest, charming",,
,5149,穴 116.6,7734,,4,"0,000002%",,,11,窔,yào,yao,fourth,corner,,
,5150,穴 116.7,1074,2786,26978,"0,013942%",4,4,12,窗,chuāng,chuang,first,window,,
,5151,穴 116.7,1962,2784,7456,"0,003853%",6,7–9,12,窝,wō,wo,first,"nest; cave, den; hiding place",,
,5152,穴 116.7,2461,2783,3865,"0,001997%",6,7–9,12,窜,cuàn,cuan,fourth,"run away; revise, edit; expel",,
,5153,穴 116.7,2979,2787,1935,"0,001000%",,7–9,12,窘,jiǒng,jiong,third,embarrassed; hard-pressed,,
,5154,穴 116.7,3317,2785,1292,"0,000668%",,,12,窖,jiào,jiao,fourth,"pit, cellar",,
,5155,穴 116.8,2748,3027,2673,"0,001381%",,7–9,13,窥,kuī,kui,first,"peep, watch, spy on, pry",,
,5156,穴 116.8,2895,5593,2181,"0,001127%",,,13,窦,dòu,dou,fourth,"surname; hole, burrow; corrupt",,
,5157,穴 116.8,2924,3028,2109,"0,001090%",,7–9,13,窟,kū,ku,first,"hole, cave; cellar; underground",,
,5158,穴 116.8,4118,5594,512,"0,000265%",,,13,窠,kē,ke,first,"nest; hole, indention; den",,
,5159,穴 116.8,4907,5595,200,"0,000103%",,,13,窣,sū,su,first,"to rush out of a den; rustling, whispering",,
,5160,穴 116.8,9798,,1,"0,000001%",,,13,窤,guān,guan,first,,,
,5161,穴 116.9,5807,5815,79,"0,000041%",,,14,窨,xūn,xun,first,"a cellar, a store-room",,
,5162,穴 116.9,5870,7735,73,"0,000038%",,,14,窭,jù,ju,fourth,"poor, impoverished",,
,5163,穴 116.9,6076,7734,57,"0,000029%",,,14,窬,yú,yu,second,a small door or window; a hole in the wall to cut through a wall,,
,5164,穴 116.9,7051,,11,"0,000006%",,,13,窩,wō,wo,first,"nest; cave, den; hiding place",,
,5165,穴 116.9,8236,,3,"0,000002%",,,14,窪,wā,wa,first,hollow; pit; depression; swamp,,
,5166,穴 116.9,9864,,1,"0,000001%",,,14,窫,yà,ya,fourth,,,
,5167,立 117.0,197,0302,204985,"0,105933%",5,3,5,立,lì,li,fourth,"stand; let stand; establish, set",,
,5168,立 117.1,159,0522,265164,"0,137033%",5,3,6,产,chǎn,chan,third,"give birth, bring forth, produce",,
,5169,立 117.15,7844,,4,"0,000002%",,,20,競,jìng,jing,fourth,"contend, vie, compete",,
,5170,立 117.15,8601,,2,"0,000001%",,,20,竷,kǎn,kan,third,,,
,5171,立 117.17,9423,,1,"0,000001%",,,22,竸,jìng,jing,fourth,"contend, vie, compete",,
,5172,立 117.2,9717,,1,"0,000001%",,,7,竌,chù,chu,fourth,,,
,5173,立 117.3,8261,,2,"0,000001%",,,8,竏,qian,qian,neutral,kiloliter,,
,5174,立 117.4,362,1631,118451,"0,061214%",4,3,9,亲,qīn,qin,first,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",,
,5175,立 117.4,2505,1473,3698,"0,001911%",6,7–9,9,竖,shù,shu,fourth,"perpendicular, vertical; erect",,
,5176,立 117.4,4654,4313,267,"0,000138%",,,9,竑,hóng,hong,second,be vast and endless; broad,,
,5177,立 117.4,8856,,1,"0,000001%",,,9,竒,qí,qi,second,"strange, unusual, uncanny, occult",,
,5178,立 117.5,544,2041,75402,"0,038967%",2,1,10,站,zhàn,zhan,fourth,"stand up; a stand, station",,
,5179,立 117.5,1100,2043,25897,"0,013383%",4,5,10,竞,jìng,jing,fourth,"contend, vie, compete",,
,5180,立 117.5,7655,,5,"0,000003%",,,10,竝,bìng,bing,fourth,variant of 并,,
,5181,立 117.5,7839,,4,"0,000002%",,,10,竚,zhù,zhu,fourth,stand and wait for long time,,
,5182,立 117.5,0,7044,,"0,000000%",,,10,竘,qǔ,qu,third,,,
,5183,立 117.6,539,2389,76098,"0,039326%",4,3,11,章,zhāng,zhang,first,"composition; chapter, section",,
,5184,立 117.6,706,2390,53033,"0,027407%",4,4,11,竟,jìng,jing,fourth,"finally, after all, at last",,
,5185,立 117.7,1229,2735,20813,"0,010756%",4,4,12,童,tóng,tong,second,"child, boy, servant boy; virgin",,
,5186,立 117.7,3704,2736,794,"0,000410%",,7–9,12,竣,jùn,jun,fourth,"terminate, end, finish; quit",,
,5187,立 117.7,4627,5261,277,"0,000143%",,,12,竦,sǒng,song,third,"revere, respect, be in awe of",,
,5188,立 117.7,9078,,1,"0,000001%",,,12,竢,sì,si,fourth,"wait for, wait until, as soon as",,
,5189,立 117.7,9812,,1,"0,000001%",,,12,竤,hóng,hong,second,,,
,5190,立 117.8,0,7225,,"0,000000%",,,11,竫,jìng,jing,fourth,,,
,5191,立 117.9,916,3151,36233,"0,018725%",6,6,14,端,duān,duan,first,"end, extreme; head; beginning",,
,5192,立 117.9,1987,3150,7194,"0,003718%",6,7–9,14,竭,jié,jie,second,put forth great effort; exhaust,,
,5193,竹 118.0,1588,0450,12000,"0,006201%",5,5,6,竹,zhú,zhu,second,bamboo; flute; KangXi radical 118,,
,5194,竹 118.10,2357,3357,4490,"0,002320%",2,2,16,篮,lán,lan,second,basket,,
,5195,竹 118.10,3406,3358,1137,"0,000588%",,,16,篡,cuàn,cuan,fourth,usurp,,
,5196,竹 118.10,4336,6124,398,"0,000206%",,,16,篝,gōu,gou,first,bamboo basket; bamboo frame,,
,5197,竹 118.10,4628,6128,276,"0,000143%",,,16,篙,gāo,gao,first,pole used punt boat,,
,5198,竹 118.10,5585,6127,104,"0,000054%",,,16,篪,chí,chi,second,a bamboo flute with seven holes,,
,5199,竹 118.10,5877,7878,73,"0,000038%",,,16,篯,jiān,jian,first,surname,,
,5200,竹 118.10,5946,6126,68,"0,000035%",,,16,篦,bì,bi,fourth,fine-toothed comb; comb hair,,
,5201,竹 118.10,6637,,23,"0,000012%",,,16,篠,xiǎo,xiao,third,dwarf bamboo,,
,5202,竹 118.10,7025,6125,11,"0,000006%",,,16,篥,lì,li,fourth,"bugle,觱篥bìlì Tatar (Tartar) horn",,
,5203,竹 118.10,7186,7877,9,"0,000005%",,,16,篚,fěi,fei,third,round or oval covered-baskets with short legs,,
,5204,竹 118.10,7352,,7,"0,000004%",,,16,篩,shāi,shai,first,"sieve, filter, screen; sift",,
,5205,竹 118.10,7797,,4,"0,000002%",,,16,築,zhú,zhu,second,"build, erect; building",,
,5206,竹 118.10,7944,,3,"0,000002%",,,16,篤,dǔ,du,third,"deep, true, sincere, genuine",,
,5207,竹 118.10,8783,7951,2,"0,000001%",,,17,簕,lè,le,fourth,(Cant.) thorn,,
,5208,竹 118.10,8858,,1,"0,000001%",,,16,篬,qiāng,qiang,first,,,
,5209,竹 118.10,8916,,1,"0,000001%",,,16,篭,lóng,long,second,cage; cage-like basket,,
,5210,竹 118.10,9041,,1,"0,000001%",,,16,篛,ruò,ruo,fourth,cuticle of bamboo plant,,
,5211,竹 118.10,9042,,1,"0,000001%",,,16,簑,suō,suo,first,a coat raincoat,,
,5212,竹 118.10,9229,,1,"0,000001%",,,16,篟,qiàn,qian,fourth,luxuriant growth of bamboo,,
,5213,竹 118.10,9435,,1,"0,000001%",,,16,篜,zhēng,zheng,first,,,
,5214,竹 118.10,9866,,1,"0,000001%",,,15,篨,chú,chu,second,coarse bamboo mat; ugly,,
,5215,竹 118.11,2579,3359,3315,"0,001713%",6,7–9,16,篷,péng,peng,second,"awning, covering; sail; boat",,
,5216,竹 118.11,2896,3418,2173,"0,001123%",,7–9,17,簇,cù,cu,fourth,"swarm, crowd together, cluster",,
,5217,竹 118.11,3158,3360,1558,"0,000805%",,,16,篱,lí,li,second,bamboo or wooden fence; hedge,,
,5218,竹 118.11,3954,6255,602,"0,000311%",,,17,簌,sù,su,fourth,(of flower petals) falling,,
,5219,竹 118.11,4892,6256,204,"0,000105%",,,17,篾,miè,mie,fourth,bamboo splints or slats,,
,5220,竹 118.11,6684,7953,21,"0,000011%",,,17,簏,lù,lu,fourth,"a box, a basket",,
,5221,竹 118.11,6715,6259,20,"0,000010%",,,17,簋,guǐ,gui,third,"a square basket of bamboo for holding grain used at sacrifices, feast",,
,5222,竹 118.11,7346,,7,"0,000004%",,,17,篸,cǎn,can,third,"a basket, hod, scuttle; a hairclasp",,
,5223,竹 118.11,7730,,4,"0,000002%",,,16,篰,bù,bu,fourth,a bamboo basket,,
,5224,竹 118.11,7947,,3,"0,000002%",,,17,篲,huì,hui,fourth,broomstick,,
,5225,竹 118.11,8119,,3,"0,000002%",,,17,簍,lǒu,lou,third,bamboo basket,,
,5226,竹 118.11,8264,,2,"0,000001%",,,16,篴,dí,di,second,bamboo flute; whistle,,
,5227,竹 118.11,8311,6257,2,"0,000001%",,,17,篼,dōu,dou,first,mountain sedan chair; (Cant.) a simple container without a cover,,
,5228,竹 118.11,8450,7952,2,"0,000001%",,,17,簃,yí,yi,second,side room,,
,5229,竹 118.11,9081,,1,"0,000001%",,,16,篳,bì,bi,fourth,"wicker, bamboo",,
,5230,竹 118.11,9230,,1,"0,000001%",,,17,篺,pí,pi,second,,,
